Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
58860,-9.48,0.16,0.03,-0.04,-0.00,0.12,standing
58880,-9.52,0.25,-0.09,-0.04,-0.01,0.12,standing
58900,-9.44,0.30,-0.12,-0.02,-0.01,0.11,standing
58920,-9.51,0.19,0.02,-0.02,-0.00,0.10,standing
58940,-9.41,0.17,0.08,-0.02,0.00,0.09,standing
58960,-9.43,0.29,0.09,-0.01,-0.00,0.08,standing
58980,-9.48,0.36,-0.03,-0.01,-0.00,0.07,standing
59000,-9.37,0.34,-0.13,-0.02,-0.00,0.07,standing
59020,-9.47,0.25,-0.18,-0.01,0.02,0.06,standing
59040,-9.52,0.15,-0.03,-0.02,0.04,0.05,standing
59060,-9.41,0.13,0.13,-0.00,0.02,0.04,standing
59080,-9.46,0.22,0.17,0.02,0.02,0.03,standing
59100,-9.33,0.30,0.11,0.04,0.02,0.02,standing
59120,-9.36,0.35,-0.01,0.03,0.04,0.01,standing
59140,-9.49,0.36,0.01,0.04,0.06,-0.00,standing
59160,-9.50,0.31,-0.20,0.02,0.07,-0.01,standing
59180,-9.54,0.44,-0.06,-0.01,0.06,-0.01,standing
59200,-9.54,0.43,-0.03,-0.03,0.04,-0.01,standing
59220,-9.51,0.32,0.03,-0.01,0.04,-0.03,standing
59240,-9.44,0.32,-0.16,-0.03,0.03,-0.02,standing
59260,-9.42,0.40,-0.06,-0.03,0.02,-0.03,standing
59280,-9.44,0.41,-0.09,-0.06,0.02,-0.03,standing
59300,-9.45,0.43,-0.07,-0.06,0.03,-0.03,standing
59320,-9.53,0.35,-0.08,-0.07,0.03,-0.03,standing
59340,-9.58,0.27,0.04,-0.08,0.02,-0.02,standing
59360,-9.59,0.27,0.00,-0.07,-0.00,-0.03,standing
59380,-9.43,0.18,-0.04,-0.07,0.01,-0.03,standing
59400,-9.51,0.10,0.02,-0.07,0.01,-0.03,standing
59420,-9.48,0.10,-0.03,-0.05,0.03,-0.03,standing
59440,-9.50,0.11,-0.08,-0.04,0.03,-0.02,standing
59460,-9.42,0.25,-0.13,-0.04,0.01,-0.02,standing
59480,-9.52,0.23,-0.15,-0.07,0.01,-0.02,standing
59500,-9.53,0.15,0.09,-0.08,0.02,-0.02,standing
59520,-9.46,0.06,0.11,-0.05,0.03,-0.03,standing
59540,-9.59,0.10,0.02,-0.06,0.03,-0.03,standing
59560,-9.51,0.09,-0.01,-0.05,0.01,-0.02,standing
59580,-9.50,0.19,-0.07,-0.07,-0.00,-0.03,standing
59600,-9.39,0.20,-0.11,-0.07,-0.01,-0.03,standing
59620,-9.48,0.12,0.11,-0.07,-0.01,-0.02,standing
59640,-9.61,0.20,0.01,-0.06,-0.02,-0.02,standing
59660,-9.46,0.19,0.01,-0.07,-0.01,-0.03,standing
59908,-9.46,-0.08,0.01,0.07,-0.05,0.01,standing
59928,-9.52,-0.21,-0.01,0.11,-0.02,0.02,standing
59948,-9.52,-0.10,-0.03,0.08,-0.03,0.03,standing
59968,-9.45,0.07,0.12,0.08,-0.03,0.03,standing
59988,-9.31,0.09,0.15,0.05,-0.01,0.02,standing
60008,-9.40,-0.01,0.17,0.05,0.01,0.02,standing
60028,-9.42,-0.05,0.19,0.06,0.01,0.02,standing
60048,-9.50,0.00,-0.08,0.04,0.01,0.01,standing
60068,-9.44,0.15,-0.07,-0.00,0.01,0.02,standing
60088,-9.37,0.08,0.01,-0.02,0.02,0.01,standing
60108,-9.45,0.11,0.17,-0.01,0.02,0.00,standing
60128,-9.51,0.06,0.25,-0.01,0.01,-0.00,standing
60148,-9.50,0.06,0.15,-0.01,0.00,-0.00,standing
60168,-9.53,0.09,0.11,0.00,0.00,-0.01,standing
60188,-9.51,0.11,0.05,-0.00,0.01,-0.01,standing
60208,-9.45,0.07,0.01,-0.01,0.01,-0.01,standing
60228,-9.43,0.00,0.01,-0.03,0.02,-0.01,standing
60248,-9.46,-0.10,-0.01,-0.02,0.01,-0.02,standing
60268,-9.41,-0.05,0.11,-0.02,-0.00,-0.02,standing
60288,-9.40,-0.00,0.18,-0.01,0.01,-0.03,standing
60308,-9.47,0.08,0.01,-0.01,0.02,-0.02,standing
60328,-9.50,0.07,0.00,-0.03,0.03,-0.02,standing
60348,-9.48,-0.00,0.04,-0.04,0.03,-0.02,standing
60368,-9.50,-0.06,-0.02,-0.02,0.03,-0.02,standing
60388,-9.49,-0.04,-0.11,-0.02,0.04,-0.03,standing
60409,-9.38,-0.12,-0.06,-0.00,0.02,-0.04,standing
