Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
32866,-9.44,-0.54,1.02,-0.28,-0.02,0.06,standing
32886,-9.37,-0.66,1.01,-0.26,-0.02,0.06,standing
32906,-9.32,-0.68,1.02,-0.26,-0.02,0.05,standing
32926,-9.36,-0.74,1.01,-0.21,-0.02,0.04,standing
32946,-9.36,-0.73,1.04,-0.19,-0.03,0.03,standing
32966,-9.30,-0.76,1.11,-0.17,-0.02,0.02,standing
32986,-9.33,-0.61,1.17,-0.16,-0.01,0.02,standing
33006,-9.29,-0.66,1.05,-0.14,-0.00,0.01,standing
33026,-9.38,-0.70,1.16,-0.14,-0.00,0.01,standing
33046,-9.42,-0.68,1.14,-0.12,-0.01,0.01,standing
33066,-9.40,-0.67,1.01,-0.09,-0.02,0.00,standing
33086,-9.34,-0.74,0.99,-0.09,-0.02,-0.01,standing
33106,-9.43,-0.61,1.03,-0.08,-0.02,-0.01,standing
33126,-9.48,-0.68,1.07,-0.06,-0.03,0.00,standing
33146,-9.40,-0.64,1.11,-0.03,-0.04,0.00,standing
33166,-9.41,-0.69,1.13,-0.02,-0.04,-0.00,standing
33186,-9.40,-0.60,1.07,-0.03,-0.06,-0.00,standing
33206,-9.29,-0.53,1.06,-0.02,-0.07,-0.01,standing
33226,-9.28,-0.46,1.25,-0.02,-0.08,-0.00,standing
33246,-9.29,-0.50,1.24,-0.02,-0.08,0.01,standing
33266,-9.22,-0.51,1.23,-0.03,-0.07,0.01,standing
33286,-9.28,-0.51,1.32,-0.03,-0.06,0.01,standing
33306,-9.45,-0.53,1.23,-0.01,-0.05,0.01,standing
33326,-9.45,-0.61,1.27,-0.01,-0.04,0.01,standing
33346,-9.41,-0.56,1.20,-0.01,-0.04,0.01,standing
33366,-9.45,-0.62,1.08,-0.02,-0.04,0.01,standing
33386,-9.32,-0.58,1.10,-0.03,-0.06,0.00,standing
33406,-9.24,-0.59,1.27,-0.04,-0.06,-0.00,standing
33426,-9.35,-0.58,1.19,-0.03,-0.06,-0.00,standing
33446,-9.21,-0.62,1.35,-0.03,-0.04,0.00,standing
33466,-9.29,-0.59,1.30,-0.02,-0.03,0.00,standing
33486,-9.39,-0.60,1.35,-0.01,-0.03,0.00,standing
33506,-9.45,-0.55,1.35,-0.02,-0.04,0.01,standing
33526,-9.26,-0.59,1.25,-0.01,-0.05,0.01,standing
33546,-9.23,-0.62,1.43,0.01,-0.04,-0.00,standing
33566,-9.34,-0.64,1.36,0.00,-0.03,-0.00,standing
33586,-9.27,-0.57,1.35,0.04,-0.02,-0.01,standing
33606,-9.29,-0.53,1.38,0.02,-0.02,-0.01,standing
33626,-9.28,-0.48,1.36,0.02,-0.01,-0.01,standing
33646,-9.34,-0.56,1.46,-0.00,-0.00,-0.01,standing
33666,-9.27,-0.47,1.48,-0.00,-0.01,-0.01,standing
33686,-9.27,-0.55,1.41,-0.00,0.00,-0.02,standing
33706,-9.30,-0.63,1.31,-0.01,0.02,-0.02,standing
33726,-9.35,-0.63,1.25,-0.02,0.02,-0.02,standing
